# zl, zs1, zs2, rein1, rein2, beta, betaerr, SN1, SN2, mag1, mag2, sigma_v_km_s
# Warning: oversampling is by a factor of 1
1.019999999999999934e-01 4.249999999999999889e-01 1.540000000000000036e+00 1.092999999999999972e+00 1.334999999999999964e+00 8.189999999999999503e-01 1.269999999999999948e-02 2.336799999999999855e+01 2.074800000000000111e+01 3.281000000000000139e+00 5.873000000000000220e+00 2.264834453247997885e+02
9.509999999999999565e-01 2.076000000000000068e+00 2.116000000000000103e+00 7.850000000000000311e-01 7.980000000000000426e-01 9.847000000000000197e-01 2.019999999999999921e-02 5.761699999999999733e+01 3.201899999999999835e+01 5.144999999999999574e+00 7.197000000000000064e+00 2.621534628754738492e+02
3.350000000000000200e-01 7.740000000000000213e-01 1.397000000000000020e+00 1.477000000000000091e+00 1.965000000000000080e+00 7.520000000000000018e-01 9.900000000000000813e-03 4.861200000000000188e+01 1.583640000000000043e+02 3.275999999999999801e+00 3.951000000000000068e+00 3.162747811073904245e+02
3.340000000000000191e-01 1.290999999999999925e+00 1.304999999999999938e+00 1.375999999999999890e+00 1.381000000000000005e+00 9.962999999999999634e-01 1.430000000000000021e-02 6.708400000000000318e+01 2.359799999999999898e+01 1.134299999999999997e+01 3.113999999999999879e+00 2.678303158836251328e+02
6.300000000000000044e-01 1.296999999999999931e+00 1.425000000000000044e+00 8.699999999999999956e-01 9.419999999999999485e-01 9.233999999999999986e-01 1.720000000000000001e-02 3.592199999999999704e+01 2.479400000000000048e+01 6.338000000000000078e+00 5.368000000000000327e+00 2.682773765133994743e+02
6.790000000000000480e-01 9.310000000000000497e-01 2.052999999999999936e+00 4.809999999999999831e-01 1.169999999999999929e+00 4.116000000000000214e-01 1.009999999999999960e-02 2.060399999999999920e+01 2.741799999999999926e+01 9.500999999999999446e+00 1.448199999999999932e+01 2.761632687115122735e+02
5.639999999999999458e-01 2.525999999999999801e+00 2.734999999999999876e+00 1.078999999999999959e+00 1.102000000000000091e+00 9.792999999999999483e-01 1.600000000000000033e-02 3.082499999999999929e+01 2.074500000000000099e+01 7.158999999999999808e+00 4.386999999999999567e+00 2.417247402143384818e+02
4.430000000000000049e-01 2.115000000000000213e+00 4.360999999999999766e+00 1.060999999999999943e+00 1.199000000000000066e+00 8.849000000000000199e-01 1.420000000000000082e-02 7.056499999999999773e+01 2.567800000000000082e+01 4.023299999999999699e+01 9.320999999999999730e+00 2.326071986407725092e+02
5.610000000000000542e-01 1.171000000000000041e+00 2.915999999999999925e+00 5.030000000000000027e-01 7.690000000000000169e-01 6.539000000000000368e-01 1.689999999999999836e-02 3.251100000000000279e+01 2.722100000000000009e+01 4.695999999999999730e+00 2.314900000000000091e+01 2.002688805040851605e+02
2.210000000000000020e-01 1.677000000000000046e+00 2.221999999999999975e+00 7.620000000000000107e-01 7.890000000000000346e-01 9.661999999999999478e-01 2.009999999999999981e-02 2.137600000000000122e+01 2.467699999999999960e+01 3.970000000000000195e+00 3.508000000000000007e+00 1.809820800889868622e+02
5.779999999999999583e-01 1.002999999999999892e+00 1.830999999999999961e+00 7.409999999999999920e-01 1.183999999999999941e+00 6.262999999999999678e-01 1.179999999999999973e-02 5.503399999999999892e+01 4.183800000000000097e+01 6.525000000000000355e+00 6.290000000000000036e+00 2.698566392047267186e+02
4.789999999999999813e-01 7.079999999999999627e-01 1.118999999999999995e+00 1.050999999999999934e+00 1.848999999999999977e+00 5.685000000000000053e-01 8.399999999999999481e-03 3.201299999999999812e+01 3.237100000000000222e+01 3.962000000000000188e+00 4.722000000000000419e+00 3.610862559525013467e+02
6.929999999999999494e-01 2.311999999999999833e+00 2.350999999999999979e+00 9.429999999999999494e-01 9.489999999999999547e-01 9.932999999999999607e-01 1.789999999999999925e-02 4.532000000000000028e+01 2.519500000000000028e+01 2.383500000000000085e+01 4.315000000000000391e+00 2.429479814660066950e+02
